E    #       LOSS ENTIT...  SENTS_F  SENTS_P  SENTS_R  ENTS_F  ENTS_P  ENTS_R  NEL_MICRO_F  NEL_MICRO_R  NEL_MICRO_P  SCORE 
---  ------  -------------  -------  -------  -------  ------  ------  ------  -----------  -----------  -----------  ------
  0       0           2.01    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0     200         116.04    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0     400         101.64    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0     600         105.55    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0     800         107.83    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0    1000         115.05    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0    1200         124.58    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0    1400         130.40    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0    1600         130.07    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0    1800         137.90    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0    2000         134.96    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0    2200         132.10    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0    2400         124.55    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0    2600         119.61    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0    2800         117.05    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  0    3000         117.57    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  1    3200         110.36    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  1    3400         112.25    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  1    3600         109.47    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  1    3800         108.50    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  1    4000         107.77    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  1    4200         108.48    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  1    4400         104.39    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  1    4600         106.02    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  2    4800         105.87    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  2    5000          98.28    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  2    5200          98.11    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  2    5400          98.24    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  2    5600          97.34    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  2    5800          97.75    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  2    6000         100.32    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  2    6200          98.30    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  3    6400          94.65    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  3    6600          91.28    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  3    6800          92.36    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  3    7000          92.72    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  3    7200          94.34    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  3    7400          90.17    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  3    7600          91.43    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  3    7800          92.65    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  4    8000          88.41    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  4    8200          87.26    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  4    8400          85.22    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  4    8600          85.49    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  4    8800          86.33    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  4    9000          85.67    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  4    9200          89.05    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  4    9400          90.77    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  5    9600          85.41    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  5    9800          86.30    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
  5   10000          83.84    24.70    16.89    45.92    0.00    0.00    0.00        93.56        93.56        93.56    0.39
